id,date,lang,interaction_type,field_domain,raw_words,prabowo_words,non_prabowo_words,in_domestic_sample,in_intl_sample,saya,kami,kita,I,me,my,we,us,our,saya_per1k,kami_per1k,kita_per1k,I_per1k,we_per1k,event
001,2024-10-20,English,Ceremonial / policy address,International diplomacy and strategic partnership,177,177,0,False,False,0,0,0,0,1,4,6,2,0,0.0,0.0,0.0,28.25,45.2,"Jamuan Santap Malam Resmi untuk Pemimpin Negara dan Utusan Khusus, 20 Oktober 2024"
002,2024-10-20,Bahasa Indonesia,Presidential address,Cabinet and executive governance,1278,1278,0,False,False,12,2,2,0,0,0,0,0,0,9.39,1.56,1.56,0.0,0.0,Pengumuman Menteri Negara Kabinet Merah Putih
003,2024-10-20,Bahasa Indonesia,Presidential address,General presidential communication,3884,3884,0,True,False,29,7,256,0,0,0,0,0,0,7.47,1.8,65.91,0.0,0.0,Sidang Paripurna MPR RI dalam rangka Pelantikan Presiden dan Wakil Presiden RI Terpilih Periode 2024-2029
004,2024-10-23,Bahasa Indonesia,Cabinet/executive briefing,Cabinet and executive governance,1653,1653,0,True,False,56,0,104,0,0,0,0,0,0,33.88,0.0,62.92,0.0,0.0,Sidang Kabinet Paripurna
005,2024-10-25,Bahasa Indonesia,Ceremonial / policy address,"Defence, security, law, and public order",787,787,0,False,False,39,3,11,0,0,0,0,0,0,49.56,3.81,13.98,0.0,0.0,"Jamuan Santap Malam Kabinet Merah Putih di Ruang Makan Husein, Komplek Akademi Militer (Akmil)"
006,2024-11-05,Bahasa Indonesia,Presidential address,Cabinet and executive governance,207,207,0,False,False,6,0,2,0,0,0,0,0,0,28.99,0.0,9.66,0.0,0.0,Penandatanganan Peraturan Pemerintah (PP) Nomor 47 Tahun 2024 tentang Penghapusan Piutang Macet Kepada
007,2024-11-06,Bahasa Indonesia,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,589,589,0,False,False,19,9,3,0,0,0,0,0,0,32.26,15.28,5.09,0.0,0.0,"pada Kunjungan Perdana Menteri Singapura Lawrence Wong, 6 November 2024"
008,2024-11-06,Bahasa Indonesia,Cabinet/executive briefing,Cabinet and executive governance,403,403,0,False,False,19,0,12,0,0,0,0,0,0,47.15,0.0,29.78,0.0,0.0,Sidang Kabinet Paripurna
009,2024-11-08,Bahasa Indonesia,Presidential address,International diplomacy and strategic partnership,385,385,0,False,False,18,0,9,0,0,0,0,0,0,46.75,0.0,23.38,0.0,0.0,"Keberangkatan Kunjungan Kerja Presiden ke Beijing, Republik Rakyat Tiongkok"
010,2024-11-09,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,281,281,0,False,False,0,0,0,7,3,3,2,0,5,0.0,0.0,0.0,46.26,24.91,Pertemuan Bilateral Presiden RI dengan Ketua Kongres Rakyat Nasional RRT
011,2024-11-09,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,467,467,0,False,False,0,0,0,17,3,5,9,4,6,0.0,0.0,0.0,53.53,40.69,Pertemuan Bilateral Presiden RI dengan Perdana Menteri RRT
012,2024-11-09,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,363,363,0,False,False,0,0,0,12,6,2,2,1,7,0.0,0.0,0.0,55.1,27.55,Pertemuan Bilateral Presiden RI dengan Presiden RRT
013,2024-11-10,English,Ceremonial / policy address,International diplomacy and strategic partnership,610,610,0,False,True,0,0,0,14,2,7,14,6,3,0.0,0.0,0.0,37.7,37.7,"Remarks of President Prabowo Subianto at Indonesia-China Business Forum, in Beijing, People’s Republic"
014,2024-11-11,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,101,83,18,False,False,2,0,1,0,0,0,0,0,0,24.1,0.0,12.05,0.0,0.0,usai Pertemuan dengan Anggota Korporasi The United States – Indonesia Society (USINDO)
015,2024-11-12,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,118,118,0,False,False,0,0,0,4,4,1,1,3,2,0.0,0.0,0.0,76.27,50.85,"Pertemuan Bilateral Presiden RI dengan Presiden Amerika Serikat di White House, Washington DC, Amerika"
016,2024-11-13,Bahasa Indonesia,Press statement / media Q&A,"Defence, security, law, and public order",261,193,68,False,False,9,0,18,0,0,0,0,0,0,46.63,0.0,93.26,0.0,0.0,"usai Pertemuan dengan Menteri Pertahanan Amerika Serikat, 13 November 2024"
017,2024-11-14,English,Ceremonial / policy address,International diplomacy and strategic partnership,1056,1056,0,False,True,0,0,0,22,1,2,46,2,15,0.0,0.0,0.0,23.67,59.66,"Keynote Speech Presiden Prabowo Subianto pada APEC CEO Summit Peru 2024, 14 November 2024"
018,2024-11-14,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,319,319,0,False,False,0,0,0,7,2,2,11,0,3,0.0,0.0,0.0,34.48,43.89,Press Statement of President Prabowo Subianto after Bilateral Meeting of President of the Republic of
019,2024-11-14,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,150,150,0,False,False,0,0,0,5,0,1,7,0,3,0.0,0.0,0.0,40.0,66.67,Remarks of President Prabowo Subianto after Bilateral Meeting of President of the Republic of Indonesia
020,2024-11-16,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,90,59,31,False,False,2,0,4,0,0,0,0,0,0,33.9,0.0,67.8,0.0,0.0,"usai Leaders Retreat Konferensi Tingkat Tinggi (KTT) APEC 2024, 16 November 2024"
021,2024-11-17,English,Ceremonial / policy address,International diplomacy and strategic partnership,1286,1286,0,False,True,0,0,0,49,2,12,50,9,10,0.0,0.0,0.0,48.99,53.65,"Forum Bisnis Indonesia-Brasil, 17 November 2024"
022,2024-11-17,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,434,434,0,False,False,0,0,0,7,0,1,29,3,0,0.0,0.0,0.0,18.43,73.73,"Sambutan Presiden Prabowo pada Pertemuan Bilateral dengan Sekretaris Jenderal (Sekjen) PBB, 17 November"
023,2024-11-17,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,400,288,112,False,False,9,0,18,0,0,0,0,0,0,31.25,0.0,62.5,0.0,0.0,"usai Pertemuan Bilateral dengan Sekretaris Jenderal (Sekjen) PBB, 17 November 2024"
024,2024-11-18,English,Ceremonial / policy address,International diplomacy and strategic partnership,425,425,0,False,False,0,0,0,7,0,3,13,4,7,0.0,0.0,0.0,23.53,56.47,"Sesi Pertama Konferensi Tingkat Tinggi (KTT) G20, 18 November 2024"
025,2024-11-19,English,Ceremonial / policy address,International diplomacy and strategic partnership,559,559,0,False,False,0,0,0,2,0,0,30,3,10,0.0,0.0,0.0,3.58,76.92,"Sesi Ketiga Konferensi Tingkat Tinggi (KTT) G20, 19 November 2024"
026,2024-11-21,Bahasa Indonesia,Press statement / media Q&A,"Economy, investment, and business",448,381,67,False,False,17,0,14,0,0,0,0,0,0,44.62,0.0,36.75,0.0,0.0,usai Menghadiri CEO Roundtable Forum
027,2024-11-23,Bahasa Indonesia,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,437,437,0,False,False,16,20,6,0,0,0,0,0,0,36.61,45.77,13.73,0.0,0.0,"Pertemuan Bilateral Presiden RI dengan Presiden Uni Emirat Arab di Qasr Al Want, Abu Dhabi, 23 November"
028,2024-11-28,Bahasa Indonesia,Presidential address,Education and human-capital development,1800,1800,0,True,False,63,17,66,0,0,0,0,0,0,35.0,9.44,36.67,0.0,0.0,Puncak Peringatan Hari Guru Nasional Tahun 2024
029,2024-11-29,Bahasa Indonesia,Presidential address,"Economy, investment, and business",1875,1875,0,True,False,67,1,65,0,0,0,0,0,0,35.73,0.53,34.67,0.0,0.0,Pertemuan Tahunan Bank Indonesia 2024
030,2024-11-29,Bahasa Indonesia,Presidential address,Cabinet and executive governance,363,363,0,False,False,7,2,10,0,0,0,0,0,0,19.28,5.51,27.55,0.0,0.0,terkait Pengumuman Kenaikan Upah Minimum Nasional Tahun 2025
031,2024-12-02,Bahasa Indonesia,Cabinet/executive briefing,Cabinet and executive governance,1218,1218,0,False,False,46,0,49,0,0,0,0,0,0,37.77,0.0,40.23,0.0,0.0,Sidang Kabinet Paripurna
032,2024-12-03,English,Presidential address,International diplomacy and strategic partnership,319,319,0,False,False,0,0,0,16,0,8,4,5,4,0.0,0.0,0.0,75.24,40.75,US-ASEAN Business Council (US-ABC)
033,2024-12-04,Bahasa Indonesia,Ceremonial / policy address,"Religious, cultural, and social solidarity",3627,3627,0,True,False,130,1,120,0,0,0,0,0,0,35.84,0.28,33.09,0.0,0.0,Pembukaan Sidang Tanwir dan Resepsi Milad ke-112 Muhammadiyah
034,2024-12-10,English,Ceremonial / policy address,"Economy, investment, and business",631,631,0,False,True,0,0,0,10,1,3,15,3,8,0.0,0.0,0.0,22.19,41.2,Jamuan Makan Siang Bersama Japan Indonesia Association (JAPINDA) dan Japan Jakarta Club (JJC)
035,2024-12-10,Bahasa Indonesia,Ceremonial / policy address,Cabinet and executive governance,1772,1772,0,True,False,29,0,121,0,0,0,0,0,0,16.37,0.0,68.28,0.0,0.0,Penyerahan Secara Digital Daftar Isian Pelaksanaan Anggaran (DIPA) dan Buku Alokasi Transfer ke Daerah
036,2024-12-10,Bahasa Indonesia,Presidential address,"Economy, investment, and business",269,269,0,False,False,16,0,16,0,0,0,0,0,0,59.48,0.0,59.48,0.0,0.0,Rapat Koordinasi Pengendalian Inflasi Daerah
037,2024-12-10,Bahasa Indonesia,Press statement / media Q&A,"Religious, cultural, and social solidarity",283,216,67,False,False,7,0,8,0,0,0,0,0,0,32.41,0.0,37.04,0.0,0.0,terkait Pengunduran Diri Utusan Khusus Presiden Bidang Kerukunan Beragama dan Pembinaan Sarana Keagamaan
038,2024-12-11,Bahasa Indonesia,Ceremonial / policy address,"Infrastructure, energy, and natural resources",186,186,0,False,False,5,0,5,0,0,0,0,0,0,26.88,0.0,26.88,0.0,0.0,Peresmian Flyover Madukoro
039,2024-12-12,Bahasa Indonesia,Ceremonial / policy address,"Infrastructure, energy, and natural resources",713,713,0,False,False,8,0,25,0,0,0,0,0,0,11.22,0.0,35.06,0.0,0.0,Peresmian Terowongan Silaturahim Masjid Istiqlal-Gereja Katedral
040,2024-12-12,English,Press statement / media Q&A,"Religious, cultural, and social solidarity",244,183,61,False,False,0,0,0,3,0,0,4,0,2,0.0,0.0,0.0,16.39,32.79,the Inauguration of the Silaturahim Tunnel Connecting Istiqlal Mosque and Cathedral in Jakarta December
041,2024-12-12,Bahasa Indonesia,Press statement / media Q&A,"Infrastructure, energy, and natural resources",206,155,51,False,False,3,0,7,0,0,0,0,0,0,19.35,0.0,45.16,0.0,0.0,usai Peresmian Terowongan Silaturahim Masjid Istiqlal-Gereja Katedral
042,2024-12-16,Bahasa Indonesia,Cabinet/executive briefing,Cabinet and executive governance,161,161,0,False,False,4,0,1,0,0,0,0,0,0,24.84,0.0,6.21,0.0,0.0,Rapat Terbatas terkait Persiapan Natal 2024 dan Tahun Baru 2025
043,2024-12-17,Bahasa Indonesia,Presidential address,International diplomacy and strategic partnership,295,295,0,False,False,14,0,4,0,0,0,0,0,0,47.46,0.0,13.56,0.0,0.0,"sebelum Keberangkatan Kunjungan Kerja ke Kairo, Mesir"
044,2024-12-18,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,689,689,0,False,True,0,0,0,5,2,3,28,1,8,0.0,0.0,0.0,14.51,53.7,"Bilateral Meeting with President of the Republic of Egypt during State Visit to Egypt, at the Al"
045,2024-12-18,English,Press statement / media Q&A,International diplomacy and strategic partnership,269,222,47,False,False,0,0,0,9,0,0,3,0,7,0.0,0.0,0.0,40.54,45.05,"Bilateral Meeting with Prime Minister of Pakistan at St. Regis Hotel New Capital, Cairo, Egypt, December"
046,2024-12-18,Bahasa Indonesia,Presidential address,Education and human-capital development,2395,2395,0,True,False,77,1,73,0,0,0,0,0,0,32.15,0.42,30.48,0.0,0.0,Pertemuan dengan Mahasiswa Indonesia di Universitas Al-Azhar Kairo
047,2024-12-18,English,Presidential address,Education and human-capital development,2452,2452,0,False,False,0,0,0,57,9,9,32,8,20,0.0,0.0,0.0,30.59,24.47,"the Meeting with Indonesian Students at Al-Azhar University, Cairo, at the Al-Azhar Convention Center"
048,2024-12-18,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,249,207,42,False,False,6,0,10,0,0,0,0,0,0,28.99,0.0,48.31,0.0,0.0,usai Pertemuan Bilateral dengan Perdana Menteri Pakistan
049,2024-12-18,Bahasa Indonesia,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,721,721,0,False,False,6,34,15,0,0,0,0,0,0,8.32,47.16,20.8,0.0,0.0,usai Pertemuan Bilateral Presiden RI dan Presiden Republik Arab Mesir dalam Kunjungan Kenegaraan
