id,lang,prabowo_words,lexical,grammatical,proper,numeral,tokens_excl,density,density_incl_proper,epi_total,epi_cognitive_verb,epi_adverbial,epi_adjectival,epi_deferential,date,interaction_type,field_domain,event,field6,it5,scripted,epi_total_per1k,epi_cognitive_verb_per1k,epi_adverbial_per1k,epi_adjectival_per1k,epi_deferential_per1k
001,English,177,77,97,3,0,174,44.253,45.198,0,0,0,0,0,2024-10-20,Ceremonial / policy address,International diplomacy and strategic partnership,"Jamuan Santap Malam Resmi untuk Pemimpin Negara dan Utusan Khusus, 20 Oktober 2024",Intl diplomacy,Ceremonial / policy address,scripted,0.0,0.0,0.0,0.0,0.0
002,Bahasa Indonesia,1384,720,170,382,9,890,80.899,86.027,1,1,0,0,0,2024-10-20,Presidential address,Cabinet and executive governance,Pengumuman Menteri Negara Kabinet Merah Putih,Governance & admin,Presidential address,scripted,0.723,0.723,0.0,0.0,0.0
003,Bahasa Indonesia,3739,1820,1497,408,30,3317,54.869,59.334,16,3,6,6,1,2024-10-20,Presidential address,General presidential communication,Sidang Paripurna MPR RI dalam rangka Pelantikan Presiden dan Wakil Presiden RI Terpilih Periode 2024-2029,Governance & admin,Presidential address,scripted,4.279,0.802,1.605,1.605,0.267
004,Bahasa Indonesia,1591,788,719,67,28,1507,52.289,53.371,28,6,18,4,0,2024-10-23,Cabinet/executive briefing,Cabinet and executive governance,Sidang Kabinet Paripurna,Governance & admin,Cabinet/executive briefing,scripted,17.599,3.771,11.314,2.514,0.0
005,Bahasa Indonesia,764,386,290,72,24,676,57.101,59.326,6,5,1,0,0,2024-10-25,Ceremonial / policy address,"Defence, security, law, and public order","Jamuan Santap Malam Kabinet Merah Putih di Ruang Makan Husein, Komplek Akademi Militer (Akmil)",Defence & security,Ceremonial / policy address,scripted,7.853,6.545,1.309,0.0,0.0
006,Bahasa Indonesia,201,93,88,20,6,181,51.381,54.589,3,2,1,0,0,2024-11-05,Presidential address,Cabinet and executive governance,Penandatanganan Peraturan Pemerintah (PP) Nomor 47 Tahun 2024 tentang Penghapusan Piutang Macet Kepada,Governance & admin,Presidential address,scripted,14.925,9.95,4.975,0.0,0.0
007,Bahasa Indonesia,581,323,205,40,13,528,61.174,62.478,2,2,0,0,0,2024-11-06,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"pada Kunjungan Perdana Menteri Singapura Lawrence Wong, 6 November 2024",Intl diplomacy,Diplomatic exchange / joint statement,scripted,3.442,3.442,0.0,0.0,0.0
008,Bahasa Indonesia,385,181,178,26,3,359,50.418,53.351,7,1,6,0,0,2024-11-06,Cabinet/executive briefing,Cabinet and executive governance,Sidang Kabinet Paripurna,Governance & admin,Cabinet/executive briefing,scripted,18.182,2.597,15.584,0.0,0.0
009,Bahasa Indonesia,368,166,159,40,5,325,51.077,55.676,8,7,1,0,0,2024-11-08,Presidential address,International diplomacy and strategic partnership,"Keberangkatan Kunjungan Kerja Presiden ke Beijing, Republik Rakyat Tiongkok",Intl diplomacy,Presidential address,scripted,21.739,19.022,2.717,0.0,0.0
010,English,279,99,144,36,2,243,40.741,48.043,0,0,0,0,0,2024-11-09,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Pertemuan Bilateral Presiden RI dengan Ketua Kongres Rakyat Nasional RRT,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
011,English,466,164,260,42,4,424,38.679,43.83,0,0,0,0,0,2024-11-09,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Pertemuan Bilateral Presiden RI dengan Perdana Menteri RRT,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
012,English,362,140,192,30,1,332,42.169,46.832,0,0,0,0,0,2024-11-09,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Pertemuan Bilateral Presiden RI dengan Presiden RRT,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
013,English,611,248,306,57,2,554,44.765,49.755,0,0,0,0,0,2024-11-10,Ceremonial / policy address,International diplomacy and strategic partnership,"Remarks of President Prabowo Subianto at Indonesia-China Business Forum, in Beijing, People’s Republic",Intl diplomacy,Ceremonial / policy address,scripted,0.0,0.0,0.0,0.0,0.0
014,Bahasa Indonesia,82,27,42,13,0,69,39.13,48.78,1,1,0,0,0,2024-11-11,Press statement / media Q&A,International diplomacy and strategic partnership,usai Pertemuan dengan Anggota Korporasi The United States – Indonesia Society (USINDO),Intl diplomacy,Press statement / media Q&A,spontaneous,12.195,12.195,0.0,0.0,0.0
015,English,118,48,64,6,0,112,42.857,45.763,0,0,0,0,0,2024-11-12,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Pertemuan Bilateral Presiden RI dengan Presiden Amerika Serikat di White House, Washington DC, Amerika",Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
016,Bahasa Indonesia,187,83,93,10,1,176,47.159,49.733,7,6,1,0,0,2024-11-13,Press statement / media Q&A,"Defence, security, law, and public order","usai Pertemuan dengan Menteri Pertahanan Amerika Serikat, 13 November 2024",Defence & security,Press statement / media Q&A,spontaneous,37.433,32.086,5.348,0.0,0.0
017,English,1049,475,513,61,9,988,48.077,50.662,0,0,0,0,0,2024-11-14,Ceremonial / policy address,International diplomacy and strategic partnership,"Keynote Speech Presiden Prabowo Subianto pada APEC CEO Summit Peru 2024, 14 November 2024",Intl diplomacy,Ceremonial / policy address,scripted,0.0,0.0,0.0,0.0,0.0
018,English,318,130,155,33,2,285,45.614,50.938,0,0,0,0,0,2024-11-14,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Press Statement of President Prabowo Subianto after Bilateral Meeting of President of the Republic of,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
019,English,150,53,89,8,1,142,37.324,40.397,0,0,0,0,0,2024-11-14,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Remarks of President Prabowo Subianto after Bilateral Meeting of President of the Republic of Indonesia,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
020,Bahasa Indonesia,57,25,29,3,0,54,46.296,49.123,2,2,0,0,0,2024-11-16,Press statement / media Q&A,International diplomacy and strategic partnership,"usai Leaders Retreat Konferensi Tingkat Tinggi (KTT) APEC 2024, 16 November 2024",Intl diplomacy,Press statement / media Q&A,spontaneous,35.088,35.088,0.0,0.0,0.0
