marker,class,raw_full_subcorpus,speeches_full_subcorpus,raw_analysis_set,per1k_analysis_set,retained
meyakini,cognitive_verb,4,4,4,0.032,no
terbukti,adjectival,4,4,4,0.032,no
rasanya,adverbial,2,2,2,0.016,no
kita tahu,cognitive_verb,2,1,2,0.016,no
hakulyakin,cognitive_verb,1,1,1,0.008,no
saya anggap,cognitive_verb,1,1,1,0.008,no
nampaknya,adverbial,1,1,1,0.008,no
memperkirakan,cognitive_verb,1,1,1,0.008,no
dipercaya,cognitive_verb,1,1,1,0.008,no
menduga,cognitive_verb,1,1,1,0.008,no
tentu saja,adverbial,1,1,1,0.008,no
mustahil,adjectival,1,1,1,0.008,no
saya kira,cognitive_verb,339,100,330,2.649,yes
mungkin,adverbial,282,78,282,2.263,yes
tentunya,adverbial,124,61,122,0.979,yes
memang,adverbial,116,46,113,0.907,yes
pasti,adjectival,56,25,56,0.449,yes
kalau tidak salah,cognitive_verb,54,25,54,0.433,yes
saya percaya,cognitive_verb,53,27,53,0.425,yes
insyaallah,deferential,40,25,37,0.297,yes
yakin,adjectival,40,27,40,0.321,yes
saya yakin,cognitive_verb,35,23,35,0.281,yes
tidak mungkin,adjectival,34,16,34,0.273,yes
percaya,cognitive_verb,34,27,33,0.265,yes
jelas,adjectival,32,18,31,0.249,yes
sebenarnya,adverbial,25,19,25,0.201,yes
sesungguhnya,adverbial,22,14,22,0.177,yes
kemungkinan,adverbial,20,17,20,0.161,yes
menurut saya,cognitive_verb,18,10,18,0.144,yes
saya tahu,cognitive_verb,16,8,15,0.12,yes
katanya,adverbial,14,8,14,0.112,yes
diperkirakan,cognitive_verb,13,7,13,0.104,yes
menganggap,cognitive_verb,12,10,12,0.096,yes
kira-kira,adverbial,12,8,12,0.096,yes
tidak tahu,cognitive_verb,11,9,11,0.088,yes
tentu,adjectival,6,5,6,0.048,yes
siapa tahu,cognitive_verb,6,5,4,0.032,yes
boleh jadi,adverbial,5,4,5,0.04,yes
sepertinya,adverbial,5,4,5,0.04,yes
