subcorpus,running_words,form,raw,per_1000w,pct_of_selfmention,texts_attested
Bahasa Indonesia,129327,saya,3644,28.18,40.2,130
Bahasa Indonesia,129327,kami,295,2.28,3.3,50
Bahasa Indonesia,129327,kita,5123,39.61,56.5,131
Bahasa Indonesia,129327,TOTAL,9062,70.07,100.0,131
English,24496,I,506,20.66,27.5,35
English,24496,me,64,2.61,3.5,22
English,24496,my,141,5.76,7.7,27
English,24496,we,745,30.41,40.5,35
English,24496,us,123,5.02,6.7,26
English,24496,our,261,10.65,14.2,31
English,24496,TOTAL,1840,75.11,100.0,38
