subcorpus,texts,running_words,form,raw,per_1000w,pct_of_selfmention,texts_attested
Bahasa Indonesia,131,129327,kita,5123,39.61,56.3,131
Bahasa Indonesia,131,129327,saya,3644,28.18,40.0,130
Bahasa Indonesia,131,129327,kami,295,2.28,3.2,50
Bahasa Indonesia,131,129327,aku,23,0.18,0.3,13
Bahasa Indonesia,131,129327,gue,15,0.12,0.2,1
Bahasa Indonesia,131,129327,TOTAL,9100,70.36,100.0,
English,35,21283,we,688,32.33,41.3,33
English,35,21283,our,230,10.81,13.8,29
English,35,21283,I,444,20.86,26.7,32
English,35,21283,my,131,6.16,7.9,25
English,35,21283,us,101,4.75,6.1,23
English,35,21283,me,55,2.58,3.3,21
English,35,21283,mine,1,0.05,0.1,1
English,35,21283,myself,8,0.38,0.5,7
English,35,21283,ourselves,7,0.33,0.4,3
English,35,21283,TOTAL,1665,78.23,100.0,
