subcorpus,field_domain,texts,running_words,saya_per1k,kami_per1k,kita_per1k,total_per1k
Bahasa Indonesia,Cabinet and executive governance,14,26041,24.73,0.58,47.39,72.7
Bahasa Indonesia,"Economy, investment, and business",18,20943,25.78,0.76,40.11,66.65
Bahasa Indonesia,International diplomacy and strategic partnership,28,17774,28.75,9.85,33.7,72.3
Bahasa Indonesia,"Defence, security, law, and public order",13,12438,29.43,0.88,35.05,65.36
Bahasa Indonesia,Education and human-capital development,7,12110,34.02,1.73,33.77,69.52
Bahasa Indonesia,"Religious, cultural, and social solidarity",8,11446,42.29,2.8,28.31,73.4
Bahasa Indonesia,"Infrastructure, energy, and natural resources",8,10817,25.79,1.11,45.3,72.2
Bahasa Indonesia,General presidential communication,3,6848,9.64,1.02,48.77,59.43
Bahasa Indonesia,"Food security, agriculture, and rural development",3,6459,34.06,0.31,39.17,73.54
Bahasa Indonesia,Health and public service,3,1498,26.03,0.0,28.7,54.73
English,International diplomacy and strategic partnership,25,17424,28.01,,51.37,79.38
English,"Economy, investment, and business",3,3627,28.67,,36.12,64.79
English,Education and human-capital development,1,2452,30.59,,24.47,55.06
