sample,pronoun_node,attitude_group,attitude_subcategory,raw,pct_of_attitude,per_1000w,nodes,running_words
Domestic (BI),saya,AFF,AFF:happiness,250,27.7,3.19,2228,78413
Domestic (BI),saya,AFF,AFF:security,162,18.0,2.07,2228,78413
Domestic (BI),saya,JUD,JUD:propriety,143,15.9,1.82,2228,78413
Domestic (BI),saya,JUD,JUD:tenacity,140,15.5,1.79,2228,78413
Domestic (BI),saya,JUD,JUD:capacity,94,10.4,1.2,2228,78413
Domestic (BI),saya,JUD,JUD:normality,35,3.9,0.45,2228,78413
Domestic (BI),saya,APP,APP:valuation,30,3.3,0.38,2228,78413
Domestic (BI),saya,APP,APP:reaction,21,2.3,0.27,2228,78413
Domestic (BI),saya,JUD,JUD:veracity,19,2.1,0.24,2228,78413
Domestic (BI),saya,AFF,AFF:satisfaction,7,0.8,0.09,2228,78413
Domestic (BI),kami,JUD,JUD:tenacity,24,45.3,0.31,81,78413
Domestic (BI),kami,AFF,AFF:security,9,17.0,0.11,81,78413
Domestic (BI),kami,JUD,JUD:propriety,6,11.3,0.08,81,78413
Domestic (BI),kami,AFF,AFF:happiness,5,9.4,0.06,81,78413
Domestic (BI),kami,JUD,JUD:normality,4,7.5,0.05,81,78413
Domestic (BI),kami,JUD,JUD:veracity,2,3.8,0.03,81,78413
Domestic (BI),kami,JUD,JUD:capacity,2,3.8,0.03,81,78413
Domestic (BI),kami,APP,APP:valuation,1,1.9,0.01,81,78413
Domestic (BI),kita,JUD,JUD:propriety,679,37.5,8.66,3416,78413
Domestic (BI),kita,JUD,JUD:capacity,318,17.6,4.06,3416,78413
Domestic (BI),kita,JUD,JUD:tenacity,296,16.4,3.77,3416,78413
Domestic (BI),kita,AFF,AFF:happiness,188,10.4,2.4,3416,78413
Domestic (BI),kita,AFF,AFF:security,169,9.3,2.16,3416,78413
Domestic (BI),kita,APP,APP:valuation,64,3.5,0.82,3416,78413
Domestic (BI),kita,JUD,JUD:normality,46,2.5,0.59,3416,78413
Domestic (BI),kita,AFF,AFF:satisfaction,19,1.1,0.24,3416,78413
Domestic (BI),kita,JUD,JUD:veracity,16,0.9,0.2,3416,78413
Domestic (BI),kita,APP,APP:reaction,14,0.8,0.18,3416,78413
International (EN),I/me/my,JUD,JUD:propriety,23,25.3,1.53,415,15031
International (EN),I/me/my,AFF,AFF:happiness,21,23.1,1.4,415,15031
International (EN),I/me/my,JUD,JUD:capacity,15,16.5,1.0,415,15031
International (EN),I/me/my,APP,APP:valuation,9,9.9,0.6,415,15031
International (EN),I/me/my,JUD,JUD:tenacity,9,9.9,0.6,415,15031
International (EN),I/me/my,AFF,AFF:security,8,8.8,0.53,415,15031
International (EN),I/me/my,AFF,AFF:satisfaction,3,3.3,0.2,415,15031
International (EN),I/me/my,APP,APP:reaction,2,2.2,0.13,415,15031
International (EN),I/me/my,JUD,JUD:veracity,1,1.1,0.07,415,15031
International (EN),we/us/our,JUD,JUD:propriety,79,35.7,5.26,666,15031
International (EN),we/us/our,JUD,JUD:tenacity,42,19.0,2.79,666,15031
International (EN),we/us/our,JUD,JUD:capacity,40,18.1,2.66,666,15031
International (EN),we/us/our,AFF,AFF:security,21,9.5,1.4,666,15031
International (EN),we/us/our,AFF,AFF:happiness,18,8.1,1.2,666,15031
International (EN),we/us/our,APP,APP:valuation,17,7.7,1.13,666,15031
International (EN),we/us/our,JUD,JUD:veracity,2,0.9,0.13,666,15031
International (EN),we/us/our,APP,APP:reaction,2,0.9,0.13,666,15031
