id,lang,issue,raw_words,prabowo_words,words_removed,pct_removed,note
014,Bahasa Indonesia,multi-speaker transcript,101,83,18,17.8,non-Prabowo turns (journalist / foreign leader / minister) removed
016,Bahasa Indonesia,multi-speaker transcript,261,193,68,26.1,non-Prabowo turns (journalist / foreign leader / minister) removed
020,Bahasa Indonesia,multi-speaker transcript,90,59,31,34.4,non-Prabowo turns (journalist / foreign leader / minister) removed
023,Bahasa Indonesia,multi-speaker transcript,400,288,112,28.0,non-Prabowo turns (journalist / foreign leader / minister) removed
026,Bahasa Indonesia,multi-speaker transcript,448,381,67,15.0,non-Prabowo turns (journalist / foreign leader / minister) removed
037,Bahasa Indonesia,multi-speaker transcript,283,216,67,23.7,non-Prabowo turns (journalist / foreign leader / minister) removed
040,English,multi-speaker transcript,244,183,61,25.0,non-Prabowo turns (journalist / foreign leader / minister) removed
041,Bahasa Indonesia,multi-speaker transcript,206,155,51,24.8,non-Prabowo turns (journalist / foreign leader / minister) removed
045,English,multi-speaker transcript,269,222,47,17.5,non-Prabowo turns (journalist / foreign leader / minister) removed
048,Bahasa Indonesia,multi-speaker transcript,249,207,42,16.9,non-Prabowo turns (journalist / foreign leader / minister) removed
059,Bahasa Indonesia,multi-speaker transcript,398,393,5,1.3,non-Prabowo turns (journalist / foreign leader / minister) removed
061,Bahasa Indonesia,multi-speaker transcript,136,90,46,33.8,non-Prabowo turns (journalist / foreign leader / minister) removed
064,Bahasa Indonesia,multi-speaker transcript,723,662,61,8.4,non-Prabowo turns (journalist / foreign leader / minister) removed
079,Bahasa Indonesia,multi-speaker transcript,110,99,11,10.0,non-Prabowo turns (journalist / foreign leader / minister) removed
081,Bahasa Indonesia,multi-speaker transcript,251,225,26,10.4,non-Prabowo turns (journalist / foreign leader / minister) removed
084,Bahasa Indonesia,multi-speaker transcript,98,59,39,39.8,non-Prabowo turns (journalist / foreign leader / minister) removed
085,Bahasa Indonesia,multi-speaker transcript,60,55,5,8.3,non-Prabowo turns (journalist / foreign leader / minister) removed
087,Bahasa Indonesia,multi-speaker transcript,106,77,29,27.4,non-Prabowo turns (journalist / foreign leader / minister) removed
090,Bahasa Indonesia,multi-speaker transcript,182,120,62,34.1,non-Prabowo turns (journalist / foreign leader / minister) removed
093,Bahasa Indonesia,multi-speaker transcript,233,215,18,7.7,non-Prabowo turns (journalist / foreign leader / minister) removed
094,Bahasa Indonesia,multi-speaker transcript,248,223,25,10.1,non-Prabowo turns (journalist / foreign leader / minister) removed
097,Bahasa Indonesia,multi-speaker transcript,182,148,34,18.7,non-Prabowo turns (journalist / foreign leader / minister) removed
103,English,multi-speaker transcript,1690,746,944,55.9,non-Prabowo turns (journalist / foreign leader / minister) removed
108,Bahasa Indonesia,multi-speaker transcript,129,115,14,10.9,non-Prabowo turns (journalist / foreign leader / minister) removed
110,Bahasa Indonesia,multi-speaker transcript,326,321,5,1.5,non-Prabowo turns (journalist / foreign leader / minister) removed
111,Bahasa Indonesia,multi-speaker transcript,1755,906,849,48.4,non-Prabowo turns (journalist / foreign leader / minister) removed
112,Bahasa Indonesia,multi-speaker transcript,347,149,198,57.1,non-Prabowo turns (journalist / foreign leader / minister) removed
113,English,multi-speaker transcript,139,48,91,65.5,non-Prabowo turns (journalist / foreign leader / minister) removed
114,Bahasa Indonesia,multi-speaker transcript,924,202,722,78.1,non-Prabowo turns (journalist / foreign leader / minister) removed
115,Bahasa Indonesia,multi-speaker transcript,534,213,321,60.1,non-Prabowo turns (journalist / foreign leader / minister) removed
116,English,multi-speaker transcript,105,95,10,9.5,non-Prabowo turns (journalist / foreign leader / minister) removed
118,Bahasa Indonesia,multi-speaker transcript,142,137,5,3.5,non-Prabowo turns (journalist / foreign leader / minister) removed
119,Bahasa Indonesia,multi-speaker transcript,59,33,26,44.1,non-Prabowo turns (journalist / foreign leader / minister) removed
125,English,multi-speaker transcript,2016,1182,834,41.4,non-Prabowo turns (journalist / foreign leader / minister) removed
126,Bahasa Indonesia,multi-speaker transcript,1220,477,743,60.9,non-Prabowo turns (journalist / foreign leader / minister) removed
127,Bahasa Indonesia,multi-speaker transcript,397,227,170,42.8,non-Prabowo turns (journalist / foreign leader / minister) removed
131,Bahasa Indonesia,multi-speaker transcript,3743,2413,1330,35.5,non-Prabowo turns (journalist / foreign leader / minister) removed
136,Bahasa Indonesia,multi-speaker transcript,865,734,131,15.1,non-Prabowo turns (journalist / foreign leader / minister) removed
137,Bahasa Indonesia,multi-speaker transcript,546,499,47,8.6,non-Prabowo turns (journalist / foreign leader / minister) removed
138,Bahasa Indonesia,multi-speaker transcript,224,155,69,30.8,non-Prabowo turns (journalist / foreign leader / minister) removed
139,Bahasa Indonesia,multi-speaker transcript,3503,3500,3,0.1,non-Prabowo turns (journalist / foreign leader / minister) removed
143,Bahasa Indonesia,multi-speaker transcript,966,830,136,14.1,non-Prabowo turns (journalist / foreign leader / minister) removed
144,Bahasa Indonesia,multi-speaker transcript,185,133,52,28.1,non-Prabowo turns (journalist / foreign leader / minister) removed
145,Bahasa Indonesia,multi-speaker transcript,127,107,20,15.7,non-Prabowo turns (journalist / foreign leader / minister) removed
146,Bahasa Indonesia,multi-speaker transcript,411,360,51,12.4,non-Prabowo turns (journalist / foreign leader / minister) removed
152,Bahasa Indonesia,multi-speaker transcript,60,51,9,15.0,non-Prabowo turns (journalist / foreign leader / minister) removed
155,Bahasa Indonesia,multi-speaker transcript,1640,824,816,49.8,non-Prabowo turns (journalist / foreign leader / minister) removed
