id,lang,presidential_words,field_domain,interaction_type,pop_A_full_corpus,pop_B_ge200w,pop_C_purposive_sample,excluded_as_duplicate_or_translation,tables_using_this_speech
001,English,177,International diplomacy and strategic partnership,Ceremonial / policy address,yes,no,no,,T2
002,Bahasa Indonesia,1278,Cabinet and executive governance,Presidential address,yes,yes,no,,T2 T3 T7 §4.4
003,Bahasa Indonesia,3884,General presidential communication,Presidential address,yes,yes,domestic,,T2 T3 T7 §4.4 T4 T5 T6
004,Bahasa Indonesia,1653,Cabinet and executive governance,Cabinet/executive briefing,yes,yes,domestic,,T2 T3 T7 §4.4 T4 T5 T6
005,Bahasa Indonesia,787,"Defence, security, law, and public order",Ceremonial / policy address,yes,yes,no,,T2 T3 T7 §4.4
006,Bahasa Indonesia,207,Cabinet and executive governance,Presidential address,yes,yes,no,,T2 T3 T7 §4.4
007,Bahasa Indonesia,589,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,yes,no,,T2 T3 T7 §4.4
008,Bahasa Indonesia,403,Cabinet and executive governance,Cabinet/executive briefing,yes,yes,no,,T2 T3 T7 §4.4
009,Bahasa Indonesia,385,International diplomacy and strategic partnership,Presidential address,yes,yes,no,,T2 T3 T7 §4.4
010,English,281,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,yes,no,,T2 §4.4
011,English,467,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,yes,no,,T2 §4.4
012,English,363,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,yes,no,,T2 §4.4
013,English,610,International diplomacy and strategic partnership,Ceremonial / policy address,yes,yes,international,,T2 §4.4 T4 T5 T6
014,Bahasa Indonesia,83,International diplomacy and strategic partnership,Press statement / media Q&A,yes,no,no,,T2
015,English,118,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,no,no,,T2
016,Bahasa Indonesia,193,"Defence, security, law, and public order",Press statement / media Q&A,yes,no,no,,T2
017,English,1056,International diplomacy and strategic partnership,Ceremonial / policy address,yes,yes,international,,T2 §4.4 T4 T5 T6
018,English,319,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,yes,no,,T2 §4.4
019,English,150,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,no,no,,T2
020,Bahasa Indonesia,59,International diplomacy and strategic partnership,Press statement / media Q&A,yes,no,no,,T2
021,English,1286,International diplomacy and strategic partnership,Ceremonial / policy address,yes,yes,international,,T2 §4.4 T4 T5 T6
022,English,434,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,yes,no,,T2 §4.4
023,Bahasa Indonesia,288,International diplomacy and strategic partnership,Press statement / media Q&A,yes,yes,no,,T2 T3 T7 §4.4
024,English,425,International diplomacy and strategic partnership,Ceremonial / policy address,yes,yes,no,,T2 §4.4
025,English,559,International diplomacy and strategic partnership,Ceremonial / policy address,yes,yes,no,,T2 §4.4
026,Bahasa Indonesia,381,"Economy, investment, and business",Press statement / media Q&A,yes,yes,no,,T2 T3 T7 §4.4
027,Bahasa Indonesia,437,International diplomacy and strategic partnership,Diplomatic exchange / joint statement,yes,yes,no,,T2 T3 T7 §4.4
028,Bahasa Indonesia,1800,Education and human-capital development,Presidential address,yes,yes,domestic,,T2 T3 T7 §4.4 T4 T5 T6
029,Bahasa Indonesia,1875,"Economy, investment, and business",Presidential address,yes,yes,domestic,,T2 T3 T7 §4.4 T4 T5 T6
030,Bahasa Indonesia,363,Cabinet and executive governance,Presidential address,yes,yes,no,,T2 T3 T7 §4.4
031,Bahasa Indonesia,1218,Cabinet and executive governance,Cabinet/executive briefing,yes,yes,no,,T2 T3 T7 §4.4
032,English,319,International diplomacy and strategic partnership,Presidential address,yes,yes,no,,T2 §4.4
033,Bahasa Indonesia,3627,"Religious, cultural, and social solidarity",Ceremonial / policy address,yes,yes,domestic,,T2 T3 T7 §4.4 T4 T5 T6
034,English,631,"Economy, investment, and business",Ceremonial / policy address,yes,yes,international,,T2 §4.4 T4 T5 T6
035,Bahasa Indonesia,1772,Cabinet and executive governance,Ceremonial / policy address,yes,yes,domestic,,T2 T3 T7 §4.4 T4 T5 T6
036,Bahasa Indonesia,269,"Economy, investment, and business",Presidential address,yes,yes,no,,T2 T3 T7 §4.4
037,Bahasa Indonesia,216,"Religious, cultural, and social solidarity",Press statement / media Q&A,yes,yes,no,,T2 T3 T7 §4.4
038,Bahasa Indonesia,186,"Infrastructure, energy, and natural resources",Ceremonial / policy address,yes,no,no,,T2
